,Date,Value_interest,Value_inflation,Value_gdp,Value_unemployment,Value_cci,Open_sp500,High_sp500,Low_sp500,Close_sp500,Volume_sp500,Open_nasdaq,High_nasdaq,Low_nasdaq,Close_nasdaq,Volume_nasdaq,Open_dow_jones,High_dow_jones,Low_dow_jones,Close_dow_jones,Volume_dow_jones,Open_tech_sector,High_tech_sector,Low_tech_sector,Close_tech_sector,Volume_tech_sector
1,1999-01-04,4.69,164.7,9411.682,4.3,103.9,1229.22998046875,1248.81005859375,1219.0999755859375,1228.0999755859375,877000000.0,2207.5400390625,2233.570068359375,2192.679931640625,2208.050048828125,936660000.0,9184.009765625,9350.330078125,9122.4697265625,9184.26953125,89410000.0,32.65625,33.5625,32.59375,33.0,650600.0
2,1999-01-05,4.74,164.7,9411.682,4.3,103.9,1228.0999755859375,1246.1099853515625,1228.0999755859375,1244.780029296875,775000000.0,2207.75,2251.77001953125,2206.489990234375,2251.27001953125,948350000.0,9184.7802734375,9338.740234375,9182.98046875,9311.1904296875,79860000.0,33.0625,34.03125,33.0625,33.84375,295200.0
3,1999-01-06,4.73,164.7,9411.682,4.3,103.9,1244.780029296875,1272.5,1244.780029296875,1272.3399658203125,986900000.0,2286.1298828125,2320.949951171875,2286.1298828125,2320.860107421875,1252650000.0,9315.419921875,9562.2197265625,9315.419921875,9544.9697265625,103340000.0,34.6875,34.9375,34.40625,34.84375,624700.0
4,1999-01-07,4.77,164.7,9411.682,4.3,103.9,1272.3399658203125,1272.3399658203125,1257.6800537109375,1269.72998046875,863000000.0,2293.27001953125,2333.699951171875,2284.239990234375,2326.090087890625,1200900000.0,9542.1396484375,9542.1396484375,9426.01953125,9537.759765625,88290000.0,34.5,35.03125,34.28125,34.734375,534600.0
5,1999-01-08,4.86,164.7,9411.682,4.3,103.9,1269.72998046875,1278.239990234375,1261.8199462890625,1275.0899658203125,937800000.0,2363.800048828125,2369.550048828125,2314.949951171875,2344.409912109375,1286690000.0,9538.2802734375,9647.9599609375,9525.41015625,9643.3203125,103250000.0,35.5,35.5625,34.484375,34.875,532800.0
6,1999-01-11,4.9,164.7,9411.682,4.3,103.9,1275.0899658203125,1276.219970703125,1253.3399658203125,1263.8800048828125,818000000.0,2373.969970703125,2384.719970703125,2348.239990234375,2384.590087890625,1140930000.0,9643.3203125,9643.3203125,9532.6103515625,9619.8896484375,98720000.0,35.875,35.875,34.84375,35.21875,497900.0
7,1999-01-12,4.82,164.7,9411.682,4.3,103.9,1263.8800048828125,1264.449951171875,1238.2900390625,1239.510009765625,800200000.0,2395.89990234375,2396.300048828125,2320.2099609375,2320.75,1107300000.0,9618.8603515625,9620.150390625,9451.76953125,9474.6796875,95680000.0,35.5,35.5625,34.265625,34.265625,486000.0
8,1999-01-13,4.74,164.7,9411.682,4.3,103.9,1239.510009765625,1247.75,1205.4599609375,1234.4000244140625,931500000.0,2222.280029296875,2353.330078125,2205.68994140625,2316.81005859375,1195470000.0,9471.33984375,9471.33984375,9213.099609375,9349.5595703125,109060000.0,32.0,35.15625,32.0,34.25,548300.0
9,1999-01-14,4.63,164.7,9411.682,4.3,103.9,1234.4000244140625,1236.81005859375,1209.5400390625,1212.18994140625,797200000.0,2337.31005859375,2338.2900390625,2276.360107421875,2276.820068359375,1012270000.0,9349.5595703125,9359.080078125,9087.7197265625,9120.9296875,90510000.0,34.34375,34.625,33.5625,33.78125,366300.0
10,1999-01-15,4.66,164.7,9411.682,4.3,103.9,1212.18994140625,1243.260009765625,1212.18994140625,1243.260009765625,798100000.0,2292.300048828125,2348.719970703125,2276.820068359375,2348.199951171875,1001160000.0,9127.16015625,9342.6103515625,9127.16015625,9340.5498046875,79440000.0,34.0,34.796875,33.84375,34.78125,653900.0
12,1999-01-19,4.71,164.7,9411.682,4.3,103.9,1243.260009765625,1253.27001953125,1234.9100341796875,1252.0,785500000.0,2390.929931640625,2408.429931640625,2348.199951171875,2408.169921875,1057490000.0,9343.1201171875,9399.25,9210.009765625,9355.2197265625,76360000.0,35.625,36.0,35.015625,35.984375,437300.0
13,1999-01-20,4.76,164.7,9411.682,4.3,103.9,1252.0,1274.0699462890625,1251.5400390625,1256.6199951171875,905700000.0,2451.429931640625,2474.3798828125,2414.81005859375,2415.489990234375,1280980000.0,9354.0498046875,9480.08984375,9300.900390625,9335.91015625,105220000.0,36.875,37.484375,36.25,36.3125,1132200.0
