date,article titles,pos,neu,neg,compound,number of articles
2024-04-07,['Fender Tone Master Pro Review: The Classiest Modeling Amp'],0.0,1.0,0.0,0.0,1
2024-04-08,"['Tesla is settling with the family of the Apple engineer who died in an Autopilot crash', 'The Supercut app brings good Netflix to the Vision Pro', 'AirPower Prototype Seen Charging Apple Watch for First Time']",0.12666666666666668,0.77,0.10333333333333333,-0.04786666666666665,3
2024-04-09,"['Welcome to the Age of Technofeudalism', ""Apple Watch Series 9 Now Available on Apple's Refurbished Store in Select Countries"", 'When to Expect a New Apple TV to Launch', 'Apple Releases visionOS 1.1.2 With Bug Fixes', 'Apple Arcade Adding These New Games in May', 'How to Clear Your Browser Cache on MacBooks']",0.10766666666666667,0.8923333333333333,0.0,0.1401,6
2024-04-10,"['Apple Store employees in New Jersey are trying to unionize', 'Apple sparks Palestinian flag emoji controversy', 'How to Force Restart an iPad', 'The Morning After: Drones that can charge on power lines', 'Apple Store Employees in New Jersey File to Unionize', 'Apple Watch Series 9 Drops to New Low Price of $295 on Amazon']",0.01916666666666667,0.9571666666666667,0.023666666666666666,-0.017116666666666665,6
2024-04-11,"[""Apple TV's Dark Matter series takes on one of Blake Crouch's best books"", 'Apple Gives Up on Labeling Cyberattacks as ‘State-Sponsored’', 'Apple TV+ Reveals a First Look at Dark Matter, Your Next Sci-Fi Mystery Obsession', 'Apple issues mercenary spyware threat alert', 'Apple to Allow Used Parts for Repairs, Starting With Select iPhones']",0.157,0.7411999999999999,0.1018,0.05214,5
2024-04-13,"['Roku Breach Hits 567,000 Users', 'This week’s trailers offered twists on familiar genres']",0.0,1.0,0.0,0.0,2
2024-04-15,['Dropbox CEO Drew Houston wants you to embrace AI and remote work'],0.173,0.827,0.0,0.3182,1
2024-04-16,"[""It's No Surprise That Samsung Phones Are Outselling iPhones Globally Right Now"", 'Apple Celebrating Earth Day and International Dance Day With New Apple Watch Activity Challenges', 'Apple Seeds Second Beta of watchOS 10.5 to Developers', 'Amazon Takes $60 Off 2nd Gen Apple Watch SE, Starting at Just $189', 'Apple Seeds Second Beta of macOS Sonoma 14.5 to Developers', 'Apple Seeds Second Beta of tvOS 17.5 to Developers', 'Apple believes that AI is the future', 'Apple Seeds Second Beta of visionOS 1.2 to Developers', 'Samsung shipped more phones than anyone else in Q1 2024']",0.04644444444444444,0.9377777777777777,0.015777777777777776,0.06495555555555556,9
2024-04-17,"[""Delta Is an iOS Game Boy Emulator That (Likely) Won't Get Taken Down"", 'Apple Considers Expanding Manufacturing Base to Indonesia']",0.0,1.0,0.0,0.0,2
2024-04-18,"['Apple is making progress cleaning up its dirty supply chain', 'Refurbished Apple Watch Ultra 2 Begins Rolling Out Outside U.S.']",0.102,0.792,0.106,-0.0129,2
2024-04-19,"['Apple Blocks Several U.S.-Based Messaging Apps in China', 'Idris Elba Says Sonic 3 Will Be For the Real Diehards', 'Everything You Need to Know About Game Emulators on iPhone', ""Apple Watch Ultra 2 Now Available on Apple's Refurbished Store in U.S."", ""European Regulators Will Soon Approve Apple's Plan to Open Up Tap-to-Pay to Banks and Payment Providers"", 'Apple Pulls WhatsApp, Telegram, Signal, and Threads From App Store in China Following Order']",0.0,0.9645,0.0355,-0.03771666666666667,6
2024-04-20,['How to change or cancel your music streaming services'],0.0,0.8,0.2,-0.25,1
2024-04-21,['Apple Reportedly Stops Production of FineWoven Accessories'],0.0,0.789,0.211,-0.1531,1
2024-04-22,"['Everyone Already Forgot About the Apple Vision Pro', 'Apple Working to Secure Streaming Rights to New FIFA Tournament']",0.2165,0.7835000000000001,0.0,0.29500000000000004,2
2024-04-23,"[""Rumors of iPhone FineWoven's Death May Have Been Greatly Exaggerated"", ""Apple to Reveal New iPads During Its 'Let Loose' Event on May 7"", 'Apple Seeds Third Beta of watchOS 10.5 to Developers', ""Apple Announces 'Let Loose' Event on May 7"", 'FineWoven Accessories May Get One Last Outing Before Apple Pulls Plug', ""Apple Cuts Vision Pro Shipments As Demand Falls 'Sharply Beyond Expectations'"", 'Apple Event on May 7: iPads Likely - CNET']",0.020857142857142855,0.8235714285714285,0.15557142857142855,-0.21348571428571428,7
2024-04-24,"['Qualcomm strong-arms its way into Windows\xa0laptops\xa0this summer', ""Apple is expected to launch new iPads and accessories during a May 7 event — here's what to know"", 'Save $300 on the 15-Inch M2 MacBook Air With Apple Music, Apple TV Plus and More Included - CNET']",0.050333333333333334,0.9496666666666668,0.0,0.16463333333333333,3
2024-04-25,"[""Apple is launching new iPads May 7: Here's what to expect from the 'Let Loose' event"", 'The ‘Hollywood Con Queen’ gets a new documentary from Apple TV Plus']",0.0,0.9335,0.0665,-0.1591,2
2024-04-26,"['It doesn’t matter how many Vision Pro headsets Apple sells', 'How to stop being reminded of memories you don’t want to be reminded of', 'Apple Asks Customers for Vision Pro Feedback']",0.20433333333333334,0.7483333333333334,0.04733333333333333,0.09896666666666666,3
2024-04-27,"[""ChatGPT Could Power the iPhone's AI Chatbot: Report""]",0.0,1.0,0.0,0.0,1
2024-04-28,['Apple Event Rumors: iPad Pro With M4 Chip and New Apple Pencil With Haptic Feedback'],0.0,1.0,0.0,0.0,1
2024-04-29,"['The Apple Watch Series 9 is back on sale for $299', 'Apple Faces New Cybersecurity Law in UK']",0.0,1.0,0.0,0.0,2
2024-04-30,"[""The second-gen Apple Pencil falls back to $79 ahead of next week's iPad event"", 'Apple’s Safari Browser May Let You Erase Ads Completely With New AI Makeover', 'Apple Seeds Fourth Beta of watchOS 10.5 to Developers', 'Apple Seeds Fourth Beta of tvOS 17.5 to Developers', ""Amazon's New Apple Sale Has Best-Ever Prices on AirPods Pro, Studio Display, Apple Pencil, and More""]",0.0,1.0,0.0,0.0,5
2024-05-01,"['This Qi2 3-in-1 charger has the best price we’ve seen from any brand', 'Apple Discounts MLS Season Pass', 'Check Out This Apple Watch iPad Demo Unit From 2014', 'Google Paid Apple $20 Billion in 2022 to Be Default Safari Search Engine', 'LG TVs Gain Support for Dolby Atmos With Apple Music']",0.1384,0.8615999999999999,0.0,0.27276,5
2024-05-02,['Apple discounts MLS Season Pass to $69 for the rest of the season'],0.0,1.0,0.0,0.0,1
2024-05-03,"['Apple Sends Congratulatory Letters to 2024 Swift Student Challenge Winners', 'Best Apple Deals of the Week: Get Low Prices on Anker and Eufy Accessories, AirPods, Apple Pencil, and More']",0.32499999999999996,0.63,0.045,0.5568,2
2024-05-05,"['Translation Tech Is Amazing, Except When It’s Not']",0.352,0.648,0.0,0.5859,1
2024-05-06,"[""How to watch Apple's iPad launch event on Tuesday"", 'How To Use Apple Apps on Windows', 'How to Watch Apple’s Big iPad Event', ""Erasable Logo on Apple's Homepage Hints at New Apple Pencil Coming Tomorrow"", '¿Un Apple Pencil Pro a la vista? Esta sería la gran novedad del evento de Apple']",0.0,1.0,0.0,0.0,5
